"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"04/01/2025";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2025";"0600";"18,9";"";"";"87,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0700";"18,6";"";"";"88,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0800";"18,6";"";"";"88,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"0900";"18,7";"";"";"88,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1000";"19,5";"";"";"87,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1100";"19,9";"";"";"87,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,5"
"04/01/2025";"1200";"21,3";"";"";"83,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1300";"25,0";"";"";"63,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1400";"25,6";"";"";"58,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1500";"26,2";"";"";"60,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"04/01/2025";"1700";"27,2";"";"";"57,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"1800";"27,6";"";"";"53,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,2"
"04/01/2025";"1900";"26,0";"";"";"62,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"2000";"25,2";"";"";"65,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"2100";"24,8";"";"";"63,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"2200";"23,8";"";"";"71,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"04/01/2025";"2300";"22,3";"";"";"76,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"0000";"21,6";"";"";"81,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"0100";"21,4";"";"";"80,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"05/01/2025";"0200";"21,3";"";"";"78,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
